segment_id,segment_label,segment_type,model,model_label,origins,holdout_hours,mean_actual,total_actual,median_origin_mae,origin_wins,n,mae,rmse,mape,wape,origin_win_rate
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,500.6439393939394,528680.0,64.80591752176838,16,1056,71.64848579595039,103.77757895299905,0.37351666287949353,0.14311265983302493,0.36363636363636365
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,500.6439393939394,528680.0,56.60028559859657,12,1056,74.74681490201466,115.30762391388815,0.33628682848576985,0.14930134776524076,0.2727272727272727
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,previous_week,Previous week,44,1056,500.6439393939394,528680.0,77.35416666666667,13,1056,90.84943181818181,149.55528457376354,0.2817436034421261,0.18146515850798214,0.29545454545454547
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,previous_day,Previous day,44,1056,500.6439393939394,528680.0,110.3125,3,1056,115.87878787878788,178.0084959242455,0.289480350915203,0.23145948399788152,0.06818181818181818
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,304.7092803030303,321773.0,41.06256070024348,16,1056,45.617727427794264,65.14267785328974,0.4665731134739237,0.14970901897844363,0.36363636363636365
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,304.7092803030303,321773.0,40.625251676192846,16,1056,47.44388712328381,71.6692847234377,0.4035849579725429,0.15570214033553995,0.36363636363636365
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,previous_week,Previous week,44,1056,304.7092803030303,321773.0,47.125,10,1056,55.57575757575758,89.63243545083714,0.287810004190253,0.1823894484621146,0.22727272727272727
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,previous_day,Previous day,44,1056,304.7092803030303,321773.0,67.39583333333334,2,1056,68.97443181818181,103.91979989687269,0.29213527433595543,0.22636144114018267,0.045454545454545456
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,297.9848484848485,314672.0,38.84967097550545,18,1056,45.70755328754235,65.83806384704472,0.39173366041235474,0.1533888502047997,0.4090909090909091
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,297.9848484848485,314672.0,42.2865201887338,13,1056,48.718761753103685,73.52867969577952,0.3795480267919844,0.16349409039023965,0.29545454545454547
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,previous_week,Previous week,44,1056,297.9848484848485,314672.0,52.229166666666664,8,1056,60.979166666666664,96.18878415371356,0.3336072896297956,0.20463848070371687,0.18181818181818182
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,previous_day,Previous day,44,1056,297.9848484848485,314672.0,68.0,5,1056,67.60795454545455,99.17126294415834,0.3289139542746164,0.22688386637514618,0.11363636363636363
cluster_04,Cluster 04 - Ave A & E 14 St area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,143.7443181818182,151794.0,19.715697163405284,21,1056,22.43634094658471,31.02070995032799,0.3462978314696911,0.1560850629115344,0.4772727272727273
cluster_04,Cluster 04 - Ave A & E 14 St area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,143.7443181818182,151794.0,20.897617937716195,11,1056,23.53455889089732,33.05406008453316,0.35992407030641,0.16372514189485465,0.25
cluster_04,Cluster 04 - Ave A & E 14 St area,station_cluster,previous_week,Previous week,44,1056,143.7443181818182,151794.0,22.375,8,1056,27.990530303030305,42.085545996436615,0.31839114949567676,0.1947244291605729,0.18181818181818182
cluster_04,Cluster 04 - Ave A & E 14 St area,station_cluster,previous_day,Previous day,44,1056,143.7443181818182,151794.0,31.5,4,1056,31.900568181818183,43.96062933828611,0.3070274209258594,0.22192576781690976,0.09090909090909091
cluster_05,Cluster 05 - E 72 St & York Ave area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,79.1657196969697,83599.0,14.344600347113055,15,1056,14.569697701487776,19.828808986031554,0.5872072542668478,0.18404048819688143,0.3409090909090909
cluster_05,Cluster 05 - E 72 St & York Ave area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,79.1657196969697,83599.0,14.29079388585214,13,1056,15.212470017900753,21.39741958838365,0.5982550183696258,0.19215981457796377,0.29545454545454547
cluster_05,Cluster 05 - E 72 St & York Ave area,station_cluster,previous_day,Previous day,44,1056,79.1657196969697,83599.0,16.270833333333332,10,1056,17.69128787878788,27.10630727228248,0.3554892859191971,0.22347157262646683,0.22727272727272727
cluster_05,Cluster 05 - E 72 St & York Ave area,station_cluster,previous_week,Previous week,44,1056,79.1657196969697,83599.0,16.8125,6,1056,18.200757575757574,26.880734060593724,0.3964456500739016,0.22990705630450126,0.13636363636363635
cluster_06,Cluster 06 - Hanson Pl & Ashland Pl area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,10.238636363636363,10812.0,3.1687635221866275,19,1056,3.4153048324641064,4.792180021460221,0.45739435446530696,0.33357028330393046,0.4318181818181818
cluster_06,Cluster 06 - Hanson Pl & Ashland Pl area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,10.238636363636363,10812.0,3.29050744295874,10,1056,3.4486338684077915,4.741844633104445,0.4744990118214037,0.33682550546047246,0.22727272727272727
cluster_06,Cluster 06 - Hanson Pl & Ashland Pl area,station_cluster,previous_day,Previous day,44,1056,10.238636363636363,10812.0,3.625,12,1056,3.725378787878788,5.3716074564944405,0.49414992333751784,0.3638549759526452,0.2727272727272727
cluster_06,Cluster 06 - Hanson Pl & Ashland Pl area,station_cluster,previous_week,Previous week,44,1056,10.238636363636363,10812.0,3.729166666666667,3,1056,4.300189393939394,6.49365949495072,0.5593334378440495,0.41999630040695524,0.06818181818181818
system_total,System total,system,weather_event_ridge,Weather/event ridge,44,1056,5661.023674242424,5978041.0,623.8212072620137,14,1056,710.7218717115852,1037.4777249693227,0.2908042117457312,0.125546528792197,0.3181818181818182
system_total,System total,system,calendar_lag_ridge,Calendar + lag ridge,44,1056,5661.023674242424,5978041.0,597.176274936753,16,1056,749.7142614131852,1163.129818494782,0.28126427991063213,0.1324343978323875,0.36363636363636365
system_total,System total,system,previous_week,Previous week,44,1056,5661.023674242424,5978041.0,744.0416666666667,10,1056,918.8797348484849,1538.116559979553,0.2290998415018608,0.1623168860835849,0.22727272727272727
system_total,System total,system,previous_day,Previous day,44,1056,5661.023674242424,5978041.0,953.2916666666667,4,1056,1033.3645833333333,1546.0694864745167,0.23388199952019414,0.18254023349789672,0.09090909090909091
